idle, timer, state
3971,10471,3
1373,6149,3
2643,10496,3
4360,7490,3
2688,2757,3
1331,10712,3
4033,9062,3
4266,10587,3
4382,5919,3
123,1159,2
867,935,3
3040,3942,3
269,516,2
23,33,1
710,752,3
355,820,3
110,141,2
873,925,3
723,832,3
684,738,3
534,832,3
48,37,1
8,5969,1
522,5756,3
1498,5040,3
3122,3184,3
550,611,3
42,3895,1
3622,3684,3
115,5621,2
99,4836,1
3524,10521,3
4324,6631,3
848,1909,3
757,822,3
2081,10731,3
3256,8290,3
738,9790,3
4394,8734,3
3861,3931,3
139,623,2
156,194,2
3959,4344,3
32,31,1
845,6330,3
2968,5234,3
55,45167,1
480,1020,3
278,318,2
1915,2020,3
408,3997,3
2408,3309,3
458,565,3
565,8039,3
4026,7200,3
2737,2850,3
956,16008,3
4024,14780,3
3987,10432,3
3940,6107,3
1800,1903,3
1912,12934,3
3982,10703,3
3994,6404,3
2007,2096,3
384,476,3
787,880,3
117,896,2
422,515,3
803,898,3
807,901,3
749,840,3
346,13251,3
4002,12630,3
3962,8294,3
3898,4011,3
286,308,2
901,937,3
779,842,3
803,851,3
606,839,3
867,891,3
2991,32787,3
4346,29467,3
4330,24778,3
4403,20101,3
4169,15323,3
4285,10841,3
4309,6220,3
1498,1551,3
2618,8881,3
722,5876,3
3085,4701,3
112,1237,2
823,1028,3
119,33391,2
2610,33112,3
861,30226,3
729,29192,3
70,28239,1
42,28059,1
48,27955,1
35,27841,1
47,27752,1
146,27640,2
35,27305,1
39,27186,1
26,27089,1
27,27020,1
26,26949,1
27,26877,1
26,26806,1
26,26736,1
26,26667,1
12,26598,1
14,26558,1
18,26516,1
14,26468,1
14,26428,1
15,26388,1
14,26347,1
14,26308,1
14,26268,1
14,26230,1
14,26191,1
14,26151,1
14,26113,1
14,26073,1
14,26034,1
13,25995,1
14,25959,1
7,25919,1
9,25778,1
36,25766,1
35,25726,1
36,25688,1
33,25649,1
35,25612,1
37,25574,1
65,25533,1
9,25490,1
35,25452,1
44,25414,1
136,25367,2
107,25228,2
3,25118,1
9,25099,1
5,25069,1
5,25047,1
11,25028,1
45,24994,1
5,24889,1
138,24871,2
12,24568,1
82,24512,1
759,24425,3
5,23663,1
10,23640,1
83,23613,1
507,23526,3
1192,22807,3
4283,21400,3
4342,16789,3
4344,12097,3
4187,7394,3
2740,2847,3
241,241,2
766,891,3
39,944,1
684,721,3
771,819,3
779,823,3
687,738,3
354,13530,3
